name,ra,dec,t_zero,period,width
103952_AD_CYCLE1807_DC,332.759193871907,-27.2956898857971,2457869.502523148,3.5506455474697685,3.857166666666666
103952_AD_CYCLE1807,332.759193871907,-27.2956898857971,2457869.502349537,3.5506263847834028,3.8578055555555557
103954_AD_CYCLE1802,333.111249142487,-26.9263935102055,2457871.5825,5.749255073942801,3.6233333333333335
103954_AD_CYCLE1807_DC,333.111249142487,-26.9263935102055,2457871.5858796295,5.749180993452489,3.6233333333333335
103954_AD_CYCLE1807,333.111249142487,-26.9263935102055,2457871.5824421295,5.749269399841979,3.6233333333333335
103955_AD_CYCLE1807_DC,323.633951857744,-7.08743842670435,2457871.4447685187,5.671356169494734,4.268222222222223
103955_AD_CYCLE1807,323.633951857744,-7.08743842670435,2457871.442986111,5.671672509320613,3.880222222222222
103958_AD_CYCLE1807_DC,321.692648171086,-9.39532220809805,2457870.8918171297,4.2232405324926505,2.725427777777778
103958_AD_CYCLE1807,321.692648171086,-9.39532220809805,2457870.8918402777,4.2232566997021985,2.725427777777778
103962_AD_CYCLE1807_DC,324.853850964265,-31.3876220666058,2457868.8067013887,7.230507396240972,1.8178138888888888
103962_AD_CYCLE1807,324.853850964265,-31.3876220666058,2457868.802939815,7.230735637163508,1.8180805555555557
103964_AD_CYCLE1807_DC,343.323392819653,-0.168170102959064,2457883.9233564814,2.5653618963230325,2.198688888888889
103964_AD_CYCLE1807,343.323392819653,-0.168170102959064,2457883.9240972223,2.565300228583831,2.198688888888889
103986_AD_CYCLE1802,329.772406789374,-33.0661922815553,2457876.14880787,12.664581178915972,2.924916666666667
103986_AD_CYCLE1807_DC,329.772406789374,-33.0661922815553,2457876.1486689816,12.66450886993044,2.924916666666667
103986_AD_CYCLE1807,329.772406789374,-33.0661922815553,2457876.1490972224,12.664616543184492,2.924916666666667
103992_AD_CYCLE1807_DC,300.375436526179,-11.6769417776989,2457875.588414352,6.500703692715092,2.050997222222222
103992_AD_CYCLE1807,300.375436526179,-11.6769417776989,2457870.0861574076,1.5620913471693054,7.06
104005_AD_CYCLE1807_DC,83.4322018816206,-4.00878914181587,2457984.8811805556,2.814579530412234,2.6593555555555555
104005_AD_CYCLE1807,83.4322018816206,-4.00878914181587,2457984.1510300925,1.2676055360226852,5.123222222222222
104030_AD_CYCLE1807_DC,302.521017510534,-11.6256829155253,2457870.3381597223,0.6412731813280786,1.7736722222222223
104030_AD_CYCLE1807,302.521017510534,-11.6256829155253,2457870.3384837965,0.6412688566844815,1.7736722222222223
104047_AD_CYCLE1807_DC,321.74116983495,-8.49934653051224,2457877.888541667,11.12036935832831,2.195211111111111
104047_AD_CYCLE1807,321.74116983495,-8.49934653051224,2457877.888703704,11.120374771250995,2.195211111111111
104059_AD_CYCLE1807_DC,321.89711671408,-8.3523967180667,2457868.3503935183,4.387895916754873,3.303722222222222
