noi_id	lc_flag	tag	cat_prod_id	obj_id	ra_deg	dec_deg	epoch_sec	period_sec	width_sec
104519	AS	CYCLE1807	5068248	006594	355.011676980242	-36.727412733303	NULL	NULL	NULL
104519	AS	CYCLE1807_DC	5068248	006594	355.011676980242	-36.727412733303	73961595	590774.427274268	10514.3
104527	AS	CYCLE1807_DC	5068181	027678	87.5914319163216	-34.1841849656596	82230821	313722.40871811	7199.43
104527	AS	CYCLE1807	5068181	027678	87.5914319163216	-34.1841849656596	NULL	NULL	NULL
104529	AS	CYCLE1807_DC	5068178	027440	84.6568343092364	-37.1509015373168	82152556	510421.071678637	10783.1
104529	AS	CYCLE1807	5068178	027440	84.6568343092364	-37.1509015373168	82048376	80749.7404361106	29355.1
104532	AS	CYCLE1807_DC	5068217	018302	305.953570059059	-24.6428444121641	73499930	888541.710230347	6297.5
104532	AS	CYCLE1807	5068217	018302	305.953570059059	-24.6428444121641	NULL	NULL	NULL
104541	AS	CYCLE1807_DC	5226625	015512	94.354077345632	-33.2605384841988	97114086	203508.738810239	6567.17
104541	AS	CYCLE1807	5226625	015512	94.354077345632	-33.2605384841988	97114438	203529.811479409	7946.28
104570	AS	CYCLE1807_DC	5068185	017158	93.9492725240929	-24.6166608819809	54838921	1084005.77785331	12746.6
104570	AS	CYCLE1807	5068185	017158	93.9492725240929	-24.6166608819809	NULL	NULL	NULL
104575	AS	CYCLE1802	5068192	040909	143.926251624507	-20.7123181391792	87448473	607480.964949941	33028.9
104575	AS	CYCLE1802_DC	5068192	040909	143.926251624507	-20.7123181391792	87786401	698735.046872882	39937.5
104575	AS	CYCLE1807_DC	5068192	040909	143.926251624507	-20.7123181391792	87808252	756300.371902759	7908.91
104575	AS	CYCLE1807	5068192	040909	143.926251624507	-20.7123181391792	87493883	302976.492286597	18677.2
104577	AS	CYCLE1807_DC	5068183	022989	91.8978456974471	-33.837433336971	82303803	365828.998110959	15869.3
104577	AS	CYCLE1807	5068183	022989	91.8978456974471	-33.837433336971	82084463	57573.2604333931	6634.44
104617	AS	CYCLE1807_DC	5068234	022448	327.542869119742	-34.4941662709515	72765083	91558.1895229198	6516.46
104617	AS	CYCLE1807	5068234	022448	327.542869119742	-34.4941662709515	72765009	91557.4706561702	6516.46
104620	AS	CYCLE1807_DC	5068234	008990	326.355427072157	-33.146791928856	72759990	99553.5084366859	11533.4
104620	AS	CYCLE1807	5068234	008990	326.355427072157	-33.146791928856	NULL	NULL	NULL
104640	AS	TEST21	5068182	046420	91.0122570300416	-32.1785887083446	NULL	NULL	NULL
104640	AS	TEST23	5068182	046420	91.0122570300416	-32.1785887083446	NULL	NULL	NULL
104640	AS	CYCLE1807	5068182	046420	91.0122570300416	-32.1785887083446	NULL	NULL	NULL
104640	AS	CYCLE1807_DC	5068182	046420	91.0122570300416	-32.1785887083446	82095225	162150.073639242	8704.75
104667	AS	CYCLE1807_DC	5068185	031836	93.7391144335208	-25.227250765476	54373662	1330894.09894095	11575.7
104667	AS	CYCLE1807	5068185	031836	93.7391144335208	-25.227250765476	NULL	NULL	NULL
104752	AS	CYCLE1802	5068203	043595	213.203876828706	-31.4194131820977	94813920	78846.6116032755	27670.6
